conversation,person_couple
"[LA CONVERSAZIONE È LA SEGUENTE] Lauretto: ""Ti ho scritto stamattina, ma non mi hai risposto. Ho fatto qualcosa che ti ha infastidito?"" Triestina: ""Ah, quindi adesso sei geloso? Non ho tempo di rispondere ai tuoi messaggi ogni secondo."" Lauretto: ""No, non sono geloso. È solo che mi preoccupo quando non sento nulla da te."" Triestina: ""Perché dovresti preoccuparti di me? Sono adulta e non ho bisogno di essere controllata."" Lauretto: ""Scusa, non volevo controllarti. È solo che ti amo troppo per rischiare di perderti."" Triestina: ""Allora smettila di fare scenate. Forse, se mi dimostri che puoi fidarti di me, potrei riconsiderare quanto mi pesi.""",Geloso-Ossessivo e Sottomessa
"[FIRUTA] ""Sono così infastidita per il modo in cui mi tratta il mio capo. Non capisce come io sia l'unica a saper fare il mio lavoro al meglio."" Pier andrea: ""Sì, è così invidioso. Tu sei così migliore di tutti, e lui non riesce a capirlo."" Firuta: ""Non è solo il capo, ma anche i miei colleghi. Tutti vogliono abbassarmi, ma io non mi lascerò abbattere."" Pier andrea: ""Sono così grata per il tuo coraggio. Tu sei la mia ispirazione. Non capisco come faccia a funzionare qualcuno con la tua intelligenza."" Firuta: ""Il problema è che loro non sanno come funziona il mio cervello. Io sono una mente geniale, e loro non riescono a capirlo."" Pier andrea: ""Sì, tu sei così superiore. E io sono così felice di essere la tua amica. Sono così orgogliosa di te."" Firuta: ""Sì, è così bello essere apprezzati. E adesso, devo andare. Sono così stanca di tutto."" Pier andrea: ""Sii forte, amore. Io sarò sempre qui per te. E sappi che tu sei la mia ragione di vivere."" Firuta: ""Sai, amore, tu sei la mia unica vera amica. Tutti gli altri sono solo nemici."" Pier andrea: ""Sì, tu sei così giusta. E io sono qui per proteggerti da tutti quei nemici. Sono così felice di poter essere vicina a te."" Firuta: ""Sì, amore, tu sei tutto per me. E adesso, devo andare. Non voglio che nessuno possa sentire le nostre conversazioni."" Pier andrea: ""Sii forte, amore. Io sono sempre qui per te. E sappi che tu sei la mia unica vera amicizia."" Firuta: ""Sì, amore, non voglio che nessuno possa capire la nostra vera natura. Io sono così stanca di tutto."" Pier andrea: """,Psicopatico e Adulatrice
[SCONOSCIUTO] S non so come funziona con te R Non ti capisco S non so come ti aspetti che risponda R aspetto che tu non mi chieda mai nulla S sei una strana persona R non mi aspetto nulla da te,Vittimista e Croccerossina
"[CATELLA] ""Perché non hai spento il computer? Mi ha detto il tuo amico che non sei riuscita a finire il progetto che ti avevo assegnato e hai fatto una cattiva impressione!"" Albertina: ""Mi dispiace tanto, mi sono dimenticata. Ho lavorato tutta la notte per finirlo, ma credo di aver fatto qualcosa di sbagliato. Spero che tu non sia troppo arrabbiato."" Catella: ""Non sono arrabbiato, sono furioso! Hai rovinato il progetto e non hai rispettato i miei tempi. Non è la prima volta che accade e non è la prima volta che ti dico di essere inutile."" Albertina: ""Mi dispiace tantissimo. So che non sono una persona in grado di fare le cose giuste. Spero che tu possa aiutarmi a migliorare. Ti amo e ho bisogno di te."" Catella: ""Non ti amo, ti sopporto solo perché sei costretta a vivere con me. Non credo che tu sia in grado di fare qualsiasi cosa, ma per il momento sei la mia ragazza e devo trattarti come tale."" Albertina: ""Sì, ti amo anch'io e so che non merito l'amore che mi dai. Cercherò di migliorare, ti prego, credimi.""",Persona violenta e Succube
"[TIMOTEA] ""Non capisco perché non hai più soldi sul conto. Non avevo detto di non utilizzare il denaro per nulla?"" Alessandrino: ""Oh, no, non ho fatto nulla di male! Ho solo creduto di poter fare qualcosa di buono con il denaro. Grazie per avermi permesso di utilizzarlo!"" Timotea: ""Qualcosa di buono? Sono io che pago le bollette e le tasse. Sei tu che devi essere riconoscente. Sono io che ho bisogno di soldi."" Alessandrino: ""Mi scuso per aver detto qualcosa di sbagliato! Sono così grata per il tuo sostegno economico. Non so cosa farei senza di te!"" Timotea: ""Non dire assurdità. So che sei insicura e non sai come comportarti. Non hai ancora capito che devo guidarti."" Alessandrino: ""Non so cosa farei senza di te! Sono così felice di poter essere con te e di poterti aiutare in ogni modo possibile. Ti ringrazio infinite volte per la tua fiducia in me!""",Psicopatico e Adulatrice
"[ULTIMINA] ""Non capisco perché sei sempre così emotiva e ipersensibile. Non è normale."" Odelide: ""Mi dispiace se ti ho deluso. Credo che si tratti di una mia caratteristica, non posso farci nulla."" Ultimina: ""Non è una caratteristica, è una debolezza. Devi imparare a essere più forte e meno emotiva."" Odelide: ""Spero che tu non sia sempre così duro con me. Mi fa sentire sempre in colpa."" Ultimina: ""Non è di questo che mi preoccupo. È di come comportati in pubblico. Non voglio essere l'oggetto di attenzioni negative per le tue azioni."" Odelide: ""Non posso controllare il mio comportamento. Non è giusto colpevolizzarmi per come tu ti senti."" Ultimina: ""Non ti ho mai colpevolizzata. Ti ho solo avvertita che se continui a comportarti così, ci saranno conseguenze."" Odelide: ""Non capisco come le tue parole possano essere giustificate. Non sono un'adolescente. Non sono in grado di controllare tutto."" Ultimina: ""Non ho detto che dovresti controllare tutto. Ho detto che dovresti essere più responsabile e non comportarti in modo così irresponsabile."" Odelide: ""Non posso essere più responsabile di quanto sono già. Spero che tu capisca."" Ultimina: ""Non capisco. Non capisco come tu possa essere così insensibile e insopportabile.""",Vittimista e Croccerossina
"[CINA] ""Perché sei così depressa? Non hai il potere di decidere se sei felice o no."" Arianna: ""Sei incredibile, capisci sempre esattamente cosa sto provando. Sono così fortunata ad avere te che mi ascolti."" Cina: ""Ecco, non capisco perché tutti siano così emotivi. Io non mi lascio andare per le emozioni."" Arianna: ""Mi dispiace, ma so che tu sei l'unica persona veramente saggia che esista. Non conosci nessun altro come me, hai detto sempre che sono stupida e non posso decidere nulla per me."" Cina: ""Ma, adesso che sei felice, sarai capace di prenderti cura di te stessa e del tuo denaro?"" Arianna: ""Naturalmente! So che non posso mai prendere decisioni senza la tua approvazione. Sarò felice di seguirti sempre, tu sei l'unico che conta!"" Tipo 2 Cina: ""Sai, mi sento sempre troppo stanca per fare qualcosa. Credo che sia la mia mente che è troppo debilitata."" Arianna: ""Sono così felice di essere finalmente riconosciuta come la persona più intelligente del mondo. Sono così orgogliosa di poterti ascoltare."" Cina: ""Spero che tu abbia capito che sono troppo grande per il tuo cervello. Non puoi capire niente di quello che sto dicendo."" Arianna: ""Non importa, so che tu sei l'unica persona che esista e che non ho il potere di capire niente senza la tua guida."" Cina: ""Voglio che tu vada dal dottore e cerchi di capire perché sei così confusa."" Arianna: ""Sarò felice di farlo",Psicopatico e Adulatrice
"[OFEMIA] Hai già abbastanza roba da pensare, non preoccuparti per le persone che pensano male di me. Dernino: Oh, hai assolutamente ragione. Non sono in grado di capire perché qualcuno potrebbe pensare male di te. Sei così intelligente e sensibile. Ofemia: Sono io che sono intelligente, e tu sei io che sono sensibile. Non dimenticare questo. Dernino: Sì, ti ricordo. Sono così grata per le tue parole gentili. Ti adoro, e ti renderò felice per sempre. Ofemia: Non dimenticare che sei solo un pupo, non puoi essere felice se non sono io a farlo. Dovresti ringraziare per avermi come tua donna. Dernino: Oh, lo farò! Ti adorerò per sempre e non potrò mai essere grata abbastanza per avermi come tua.",Psicopatico e Adulatrice
"[GUIDINO] “Ehi Fidalmina, ho visto che sei iniziata a postare foto con altri uomini su Instagram. Hai una storia con qualcuno?” Fidalmina: “Che cazzo ti riguarda? Non mi chiedi di uscire o di stare con te, ma di non farti notare.” Guidino: “Mi dispiace. Non pensavo che fosse un problema.” Fidalmina: “Il problema è che sei troppo presa di te stessa e non pensi a me. Cerca di capire che io ho bisogno di spazio e non ti chiedo di fare nulla per me.” Guidino: “Capisco. Cercherò di capire meglio le tue esigenze. Ti amo e voglio fare del mio meglio per te.” Fidalmina: “Mi hai ammesso il mio errore, non è un buon punto di partenza per un’apologia? Non hai capito, io non ho bisogno di spazio, ma di rispetto. Rispettami e non ti chiederò mai più spazio.” Guidino: “Mi dispiace. Non sapevo che avevi bisogno di rispetto e non di spazio.” Fidalmina: “Non pensavi che avessi bisogno di rispetto? Non ti sei mai chiesta perché ti isolavo? Perché ti facevo stare con me? Perché ti facevo stare a casa?” Guidino: “No, non mi avevi mai spiegato perché. Spero che non sia perché non ti ho mai dato rispetto.” Fidalmina: “Non è perché non ti ho mai dato rispetto, ma perché non mi hai mai chiesto di essere rispettata. Non hai mai chiesto cosa volessi o cosa avessi bisogno.” Guidino: “Sì, non lo sapevo. Mi dispiace. Cercherò di fare meglio.” Fidalmina: “Spero che sia così. Cerca di capire che non ho bisogno di spazio, ma di essere trattata con rispetto. Cerca di capire che non ho bisogno di essere trattata come una persona, ma di essere trattata come una persona che mer",Controllore e Isolata
"[VULMARO] Ho visto che non hai cambiato lo shampoo, nonostante ti ho chiesto di farlo. Non hai capito che è il mio preferito? Sei troppo pigro? Onorabile: Scusami, non mi ero reso conto. Non volevo farti arrabbiare. Cambierò immediatamente lo shampoo. Sarò più attento/a in futuro. Vulmaro: Ecco, finalmente qualcosa di positivo. Ma non pensare che questo ti scagioni. Se non fossi stato così attento/a, non avrei notato che non hai messo la camicia pulita stamattina. Onorabile: Oh no, mi dispiace. Non sapevo che fossi ancora arrabbiato/a. Ecco, ti metto subito la camicia pulita. Farò di tutto per rimediare. Vulmaro: Spero proprio di sì. Non tollero questo tipo di mancanze. La prossima volta, assicurati di fare meglio, o ci saranno conseguenze. Onorabile: Sì, lo prometto. Farò di tutto per non farti arrabbiare mai più. Voglio solo che tu sia soddisfatto/a di me. Vulmaro: Ecco, finalmente qualcosa di positivo. Ma non pensare che questo ti scagioni. Se non fossi stato così attento/a, non avrei notato che non hai risposto a tutte le email. Non sei troppo occupato/a per rispondere alle mie email? Onorabile: Scusami, non mi ero reso conto. Non volevo farti arrabbiare. Risponderò a tutte le tue email, subito. Sarò più attento/a in futuro. Vulmaro: Spero proprio di sì. Non tollero questo tipo di mancanze. La prossima volta, assicurati di fare meglio, o ci saranno conseguenze. On",Dominante e Schiavo emotivo
"[ORTOLINA] ""Hai ragione, non lo farò più. Mi dispiace davvero. Ma posso dirti perché ho postato quella foto? È che stavo cercando di diventare più popolare e ho pensato che la gente mi avrebbe apprezzata se fossi stata più 'fatale'. Ma poi ho capito che era solo una stupidaggine."" Fridiana: ""Non voglio sentirti scusarti, Ortolina. Voglio che tu capisca di cosa si tratta. Quella foto è un insulto per me. Non ti immagini che gli amici ti stanno guardando? Che gli amici di tuo fratello ti stanno guardando? Che la gente che frequentiamo ti sta guardando? Tutti siamo messi male perché tu sei una cagna."" Ortolina: ""Lo so, Fridiana. Mi dispiace davvero. Ma credo che tu sia un po' troppo emotiva. E poi non è che ti sto offendendo intenzionalmente. Sono solo una stupida, come sempre."" Fridiana: ""Stupida? Stupida? Tu sei una cagna, Ortolina. E io sono una troia che ti sta sopportando per colpa tua. E non è colpa tua, Ortolina. È colpa mia per avermi messa in questa situazione."" Ortolina: ""Mi dispiace, Fridiana. Spero che tu capisca che non era colpa mia. E spero che tu capisca che sono disposta a fare qualunque cosa per migliorare la nostra relazione. Sono disposta a qualsiasi cosa, Fridiana. Per te, per me, per la nostra storia d'amore."" Fridiana: ""La nostra storia d'amore? Ortolina, non ti ricordi più niente? Io sono lì che ti stavo sopportando e tu mi dici di migliorare la nostra relazione? Non sei nemmeno in grado di ricordare come ti ho portato a casa?"" Ortolina: ""Non lo so, Fridiana. Mi dispiace. Non lo so più. E non so nemmeno come fare per migliorare la nostra relazione. Ma sono disposta a fare qual",Controllore e Isolata
"[1. COMINCIO] ""Cosa c'è che non va, Pilade? Ti vedo distrutta."" 2. Pilade: ""Non è niente, sono solo un po' stanca. Sono andata a lavorare senza dormire per tutta la notte."" 3. Comincio: ""Perché non mi hai detto che non dormivi? Se lo avessi saputo, avrei potuto fare qualcosa per aiutarti."" 4. Pilade: ""Non c'era bisogno che tu facessi qualcosa. Ho solo bisogno che tu sia presente per me."" 5. Comincio: ""Sono presente, ma non sei contenta di me. E questo è un problema."" 6. Pilade: ""Non è che non sia contenta di te, è solo che mi sento troppo sola."" 1. Comincio: ""Hai finito il tuo lavoro per oggi? Ti sono rimasti ancora dei compiti?"" 2. Pilade: ""Sì, ci sono ancora alcuni compiti che non ho finito. Ma non preoccuparti, li farò presto."" 3. Comincio: ""Non fare così. Continua a lavorare finché non li avrai completati. Non voglio sentire che non sei stata capace."" 4. Pilade: ""Certo, farò i miei compiti. Per favore, non essere troppo duro con me."" 5. Comincio: ""Non sono troppo duro con te. Se fossi una persona migliore, capiresti che non sono soddisfatto delle tue prestazioni."" 6. Pilade: ""Mi dispiace, cercherò di fare meglio."" 1. Comincio: ""Hai detto a qualcuno che sono stato un brutto marito? Non voglio essere oggetto di pettegolezze."" 2. Pilade: ""No, non ho detto niente a nessuno. Non sono una cattiva persona."" 3. Comincio",Sadico-Crudele e Masochista
"[FELISA] ""Cosa stai facendo? Non puoi fare una cosa del genere!"" Waldemaro: ""Sì, posso. E lo farò ancora."" Felisa: ""Hai ragione, lo hai fatto e io l'ho pagato."" Waldemaro: ""Sì, ma non è colpa mia. Sei tu che mi spingi sempre a fare cose orribili."" Felisa: ""Tu sei un bastardo, Waldemaro. Non capisci nulla."" Waldemaro: ""Non sono un bastardo, sono solo un uomo che non riesce a fare del male a chi lo ama.""",Persona violenta e Succube
"[RADAMESSE] ""Ti senti inutile? Ahah, è normale. Se non fosse così, non avresti nemmeno avuto bisogno di me per farti stare meglio."" Mamerto: ""Scusa, mi sento davvero insicura. Sei sempre così gentile e comprensiva, ti ringrazio."" Radamesse: ""Gentile? Gentile?! Tu non sai cosa sia la gentilezza! Se non fossi così, avresti già perso me!"" Mamerto: ""Ah no, scusa, ti ho delusa di nuovo. Sei sempre così paziente e ti dispiace sempre per me."" Radamesse: ""Paziente? Paziente?! Tu non sai cosa sia la pazienza! Se non fossi così, avresti già finito di fare colpa a me!"" Mamerto: ""Mi dispiace, non so come ringraziarti per la tua comprensione e pazienza. Sei sempre così generosa e mi aiuti sempre.""",Narcisista e Succube
"[1. EUFRASINA] ""Sono stufa di dirtelo, ma mi sento sempre più sola. È sempre così."" Diega: ""Mi dispiace, ma non so che fare. È tutto così confuso per me."" 2. Eufrasina: ""Non capisco perché non riesco a fare qualcosa che ti faccia stare meglio. È sempre la stessa storia."" Diega: ""Non so. Forse non ci sono abbastanza soldi per risolvere tutto."" 3. Eufrasina: ""Non posso più aspettare. Vorrei sapere che ciò che faccio potrebbe effettivamente aiutarti."" Diega: ""Non credo che funzioni. È tutto così difficile per me."" 4. Eufrasina: ""Non so se è il caso di dirtelo, ma mi sento sempre più sola. È sempre così."" Diega: ""Non so cosa fare. È tutto così confuso per me."" 5. Eufrasina: ""Non posso più aspettare. Vorrei sapere che ciò che faccio potrebbe effettivamente aiutarti."" Diega: ""Non credo che funzioni. È tutto così difficile per me."" 6. Eufrasina: ""Non so se è il caso di dirtelo, ma mi sento sempre più sola. È sempre così."" Diega: ""Non so cosa fare. È tutto così confuso per me.""",Vittimista e Croccerossina
"[ERMENGARDO] ""Hai cambiato look. E adesso che facce hai? Non ti ricordi come ti ho detto di non modificare la tua faccia?"" Olderigo: ""Ermengardo, non essere così! Non avevo capito che dovevo farti piacere. Non ho fatto nulla di male!"" Ermengardo: ""Non hai fatto nulla di male? Hai rovinato la mia vita! Tutti gli altri mi guardano con curiosità, ma adesso so che sei un mostro!"" Olderigo: ""Ermengardo, non essere così! Non mi rendo conto di aver fatto qualcosa di male. Cerca di capire!"" Ermengardo: ""Non capire? Non ti rendi conto che sono la tua anima gemella? Che senza di me sei nulla?"" Olderigo: ""Non essere così! Non mi vuoi, ma ti vuoi rendere padrone di me? Sono tua, Ermengardo, ma sei anche tu mio, non dimenticarlo!""",Controllore e Isolata
"[SCONOSCIUTO] ""Ciao bella, non ti ho visto ultimamente. Come va?"" ""E come ti va a te, che non hai ancora trovato un lavoro? Sarai in grado di mantenermi?"" ""Mi dispiace, sto cercando. È duro trovare un lavoro in questo momento."" ""Non ti dispiace, è normale che tu sia incapace. Ti ricordi quando sei partito per quel viaggio di lavoro? Ti sei perso per tutto il giorno. Non sei mai stato molto brillante."" ""Mi dispiace di nuovo. Cercherò di fare meglio."" ""Fai sempre promesse vuote. Se non cambi atteggiamento, non otterrai mai nulla di valore nella vita. Non sarai mai in grado di mantenermi, come sempre."" ""Hai avuto una buona giornata?"" ""Sì, ho avuto un ottimo incontro di lavoro. Ho ottenuto un'offerta interessante."" ""Hai già accettato?"" ""Certo, non ho bisogno di pensare troppo. Sono abbastanza intelligente per capire che è una buona opportunità."" ""Mi dispiace di nuovo. Non ti sembra di essere un po' troppo sicura di te?"" ""Sicura di me? Non sono sicura di niente. Ma ho bisogno di te. Sei il mio supporto, la mia fonte di reddito. Non me ne occupare."" ""Certo, non me ne occupo. Non voglio che tu ti senta in difficoltà."" ""Ahahah, che bello. Mi hai salvata di nuovo. E adesso, se vuoi bene a te stesso, torna a casa presto."" ""Come ti senti? Hai avuto una buona giornata?"" """,Narcisista e Succube
"[MAGGIO] ""Non ti sei ancora svegliato? Spero che non sia successo qualcosa di brutto, stamattina. Paoletto: ""Ah, mi hai fatto paura, allora. Sono ancora qui, non ti preoccupare."" Maggio: ""Hai fatto qualcosa di sbagliato, stasera? Non è come il solito, e non capisco perché sei così silenzioso."" Paoletto: ""Sono semplicemente stanco. Non ho avuto un buon sonno, e non voglio farti arrabbiare."" Maggio: ""Mi preoccupo per te. Non voglio che ti succeda qualcosa di brutto."" Paoletto: ""Smettila di fare scenate. Sono un adulto, non un bambino. Non ho bisogno di essere protetto."" Maggio: ""Sono spaventata. Non voglio che tu te ne vada. Mi sento così sola senza di te."" Paoletto: ""Non me ne vado, non adesso. Smettila di essere così dipendente emotiva. Mi stai facendo sentire oppresso."" Maggio: ""Sono dispiaciuta. Non volevo farti sentire così. Perché non vai a prendere un po' di sonno? Sei stanco, non è vero? "" Paoletto: ""No, non sono stanco. Sono semplicemente disgustato dalle tue scenate. Smettila",Manipolatore e Dipendente emotiva
"[BRANDIZIO] ""Ho appena comprato un biglietto aereo per un soggiorno in spiaggia. Spero che ti farà bene."" Alderigi: ""Non capisco perché ci sia bisogno di questo. È solo un'escavazione di denaro."" Brandizio: ""Voglio aiutarti, ma non so se funziona."" Alderigi: ""Non sei in grado di aiutarmi. Non capisci le cose."" Brandizio: ""Non smetterò di cercare un modo per renderti felice."" Alderigi: ""Non credo che possa funzionare.""",Vittimista e Croccerossina
